"type","height","reward","op_id","time","cycle","is_success","is_event","confirmations","volume","sender"
"delegation","6937457","","454653182140","Fri Oct 25 2024 05:46:20 GMT+0800 (中国标准时间)","792","true","","184438","10522.937885","tz1MmfanmK1UHBNKwF6LBP3dHr9wjKrgsoZH"
"delegation","6937399","","454649381066","Fri Oct 25 2024 05:36:40 GMT+0800 (中国标准时间)","792","true","","184496","638.01083","tz1ccnezjJQeVdiK8ZnWGBn4r6GC5xRoFhjX"
"delegation","6867030","","450037678269","Thu Oct 17 2024 00:49:15 GMT+0800 (中国标准时间)","789","true","","254865","146.651357","tz1aKGYM9k88SdFaWDEfJpHJypXaafgSHxcd"
"delegation","6844137","","448537362629","Mon Oct 14 2024 08:57:45 GMT+0800 (中国标准时间)","788","true","","277758","15647.509461","tz1Y8sQ23s1jxNzs9P6bAfHdav6xgxsrscJg"
"delegation","6772915","","443869757642","Sun Oct 06 2024 02:07:40 GMT+0800 (中国标准时间)","785","true","","348980","57.773837","tz1NncGNbLX3KvXa9qGnkt9JJB1umjXucCCi"
"delegation","6671673","","437234761912","Tue Sep 24 2024 07:19:10 GMT+0800 (中国标准时间)","781","true","","450222","638.01083","tz1ccnezjJQeVdiK8ZnWGBn4r6GC5xRoFhjX"
"delegation","6671656","","437233647800","Tue Sep 24 2024 07:16:20 GMT+0800 (中国标准时间)","781","true","","450239","10522.938385","tz1MmfanmK1UHBNKwF6LBP3dHr9wjKrgsoZH"
"delegation","6611322","","433279598789","Tue Sep 17 2024 06:30:05 GMT+0800 (中国标准时间)","779","true","","510573","637.914953","tz1WMF12ntZL3iCckQ2oMgGuxMiK1m8FDi6x"
"delegation","6429129","","421339398351","Tue Aug 27 2024 01:29:15 GMT+0800 (中国标准时间)","771","true","","692766","9.370498","tz1QYrZhE1QMRSJHrGBCuUk6ZzMjvESeWWZG"
"delegation","6398356","","419322659022","Fri Aug 23 2024 11:47:35 GMT+0800 (中国标准时间)","770","true","","723539","15647.509749","tz1Y8sQ23s1jxNzs9P6bAfHdav6xgxsrscJg"
"delegation","6345284","","415844532422","Sat Aug 17 2024 07:55:00 GMT+0800 (中国标准时间)","768","true","","776611","9.370787","tz1QYrZhE1QMRSJHrGBCuUk6ZzMjvESeWWZG"
"delegation","6317152","","414000873665","Wed Aug 14 2024 01:25:30 GMT+0800 (中国标准时间)","767","true","","804743","62736.384388","tz1UcPVcPcPrytasVyKoCWDoPrzLZvPRui2c"
"delegation","6121291","","401164927177","Mon Jul 22 2024 05:24:10 GMT+0800 (中国标准时间)","759","true","","1000604","62736.384677","tz1UcPVcPcPrytasVyKoCWDoPrzLZvPRui2c"
"delegation","5758662","","377399673029","Sun Jun 09 2024 03:05:35 GMT+0800 (中国标准时间)","744","true","","1363233","1514.937044","tz1ZqsxYSZKKKtHSyeeV2tRF5KeXWErhG6py"
"delegation","5466724","","358267224277","Sat Apr 20 2024 19:39:08 GMT+0800 (中国标准时间)","727","true","","1655171","1514.937358","tz1ZqsxYSZKKKtHSyeeV2tRF5KeXWErhG6py"
"delegation","5353884","","350872142041","Mon Apr 01 2024 01:59:42 GMT+0800 (中国标准时间)","720","true","","1768011","248.922768","tz1QnGJbZxLw9CUb6iJ49kA5WhT3gFUwEPyr"
"delegation","5290996","","346750714070","Thu Mar 21 2024 00:01:53 GMT+0800 (中国标准时间)","716","true","","1830899","71.942335","tz1V6NrJQHtVz1PjVBwgX6TXDAcFuuNdtpxJ"
"delegation","4989067","","326963495130","Fri Jan 26 2024 10:37:13 GMT+0800 (中国标准时间)","698","true","","2132828","210704.159095","tz1PEvfFkP3oduyyxtPMfZfJQaAQ32F5E3yz"
"delegation","4698320","","307909099733","Wed Dec 06 2023 08:52:48 GMT+0800 (中国标准时间)","680","true","","2423575","190808.235269","tz1PEvfFkP3oduyyxtPMfZfJQaAQ32F5E3yz"
"delegation","4517661","","296069431548","Sat Nov 04 2023 11:31:18 GMT+0800 (中国标准时间)","669","true","","2604234","170.632998","KT1EDKhwYY9h8UuoxN6KpexoCT8xoaTRVAzv"